id	dest_lon	dest_lat	origin_lon	origin_lat	distance_m	duration_s
"6045"	"-117.75226537"	"34.07686926"	"-117.076049"	"32.709204"	"189635"	"8201.799999999999"
"8927"	"-89.0968089"	"42.29890591"	"-83.507359127"	"44.80393337899999"	"798691.6"	"35688.9"
"563"	"-89.63307351"	"40.56233063"	"-89.76439999999998"	"40.5689"	"16667.6"	"929.4"
"4856"	"-88.82081042999998"	"33.47497833"	"-89.44485093199999"	"33.863355155"	"100150.8"	"5993.8"
"8005"	"-77.52606414"	"37.51589281"	"-74.89255934499998"	"40.667813327"	"494514.5"	"23780.6"
"6046"	"-111.99730698"	"46.58417251"	"-113.47992279"	"47.187438079"	"168481.1"	"7560.1"
"564"	"-117.86483944"	"33.7823646"	"-117.9064222"	"33.830389351"	"9164.799999999999"	"651.3"
"4857"	"-88.21444285"	"40.11741465"	"-87.593312826"	"40.61598165199999"	"144188.7"	"6886.1"
"2034"	"-80.29378257"	"25.70294666"	"-80.210469011"	"25.890142938"	"27039.4"	"1590"
"6047"	"-115.55370399"	"32.95808899"	"-115.39088717"	"33.744266602"	"192218.3"	"8415.6"
"565"	"-91.65578114"	"41.97806891"	"-91.72816761700001"	"42.09968521"	"17588.6"	"967.3"
"4858"	"-73.91757914"	"40.70456729999999"	"-74.44402977299998"	"40.604012874"	"61392.9"	"3679.5"
"8006"	"-101.919048"	"35.19949301"	"-104.69437726"	"38.682784832"	"553184"	"22780"
"566"	"-71.10568121"	"42.33983734"	"-71.0544"	"42.3554"	"6737.5"	"609.2"
"4859"	"-96.64620469"	"34.73736427"	"-97.45747636600001"	"35.226956084"	"125817.5"	"5773.2"
"2035"	"-75.555386"	"39.77929999"	"-75.17899293099998"	"39.866879105"	"43217.8"	"2429.1"
"5856"	"-90.03243741999998"	"35.14355692"	"-88.709367"	"34.257385"	"164979.7"	"7116.1"
"8704"	"-76.30530288999998"	"40.04693462"	"-74.67007228"	"43.907424441"	"616399.8"	"32343.1"
"567"	"-97.89209203999999"	"38.07749201"	"-97.769792576"	"38.130251544"	"18027.8"	"1105.7"
"4860"	"-85.24992496999998"	"41.03926399"	"-85.18947133399999"	"41.860575559"	"112618.8"	"6022.9"
"8007"	"-122.39011103"	"37.76955199"	"-119.51996745"	"34.400349904"	"539177.5"	"23921.7"
